,_id,排名,标题,作者,综合评分,视频分类,视频标签,播放量,弹幕数,评论,收藏,点赞数,投币数,分享数,up主性别,bilibili个人认证,up主粉丝总数,up主总观看数,up主总获赞数,up主视频数,主分类
115,5eba4972059f295f561ce91b,16,让TM这玩意儿走出阴间？？？,一块电鹿板,2657301,综合,"动漫杂谈,烂片,淡黄的长裙,全能打卡挑战,智障,沙雕,吐槽,国产动画,高能,搞笑",3901214,130169,8414,97045,430193,162885,54137,保密,bilibili 知名动漫UP主,617146,27848743,3364370,80,动画
116,5eba4973059f295f561ce91c,17,这TM的才叫TM的海绵宝宝！【文盲文】,丰兄来了,2600897,综合,搞笑,2792468,17795,2568,75878,296298,96795,35566,男,bilibili 2019百大UP主、高能联盟成员,1440354,89746052,6985931,100,动画
117,5eba4974059f295f561ce91d,18,前方高能！只需10s！我将从你手中抢走硬币！,MJ小林大人嗷,2478583,MAD·AMV,"MAD.AMV,论BGM的重要性,紫罗兰永恒花园,冰菓,境界的彼方,你的名字,MAD,多素材,AMV,物语",15300597,86219,14501,922198,1435367,1370715,61072,保密,bilibili 知名动漫UP主,116869,17748197,1674674,67,动画
118,5eba4975059f295f561ce91e,19,偷文字D,阿幕降临,2390841,综合,"窃格瓦拉,一路向北,打开吧！脑洞",2840398,15076,5095,61851,247134,126780,33920,保密,bilibili 2019百大UP主、高能联盟成员,1848009,146693537,8782149,61,动画
119,5eba4976059f295f561ce91f,20,新房45°,HideInShadow,2318247,MAD·AMV,"MAD.AMV,MAD,bilibili新星计划,新人向,物语系列,战场原黑仪,故障风,TRNDSTTR",719173,1548,4490,77609,104774,81272,7855,男,,12938,714354,106792,1,动画
120,5eba4977059f295f561ce920,21,【吉良吉影】死 宅 日 常,凉风葱叶,2264350,综合,"特摄,吉良吉影,打开吧！脑洞,JOJO的奇妙冒险,假面骑士,JOJO,二次元,空条承太郎,动漫,动画,初音未来",1256795,8183,2180,69324,151746,80198,15888,保密,,61028,13721009,499010,100,动画
121,5eba4978059f295f561ce921,22,"""所念皆星河，星河中是你！""",在下南巷哟,2261510,MAD·AMV,"宫崎骏,bilibili新星计划,治愈向,新海诚,你的名字,多素材,纯音乐",872105,4372,1875,93496,114955,82427,9755,保密,,41003,4584404,473674,30,动画
122,5eba497a059f295f561ce922,23,凡人之躯 比肩神明！动漫巅峰打戏盛宴！,战场ヶ原様,2246516,MAD·AMV,"MAD.AMV,燃,AMV,多素材,踩点",1439646,4043,2058,70792,110923,62393,3655,男,bilibili 知名动漫UP主,383017,59217433,3791343,97,动画
123,5eba497b059f295f561ce923,24,神作云集！十一年前的辉煌！2009动画高分榜TOP10！,泛式,2204148,综合,"盘点排行,动漫杂谈,钢之炼金术师,化物语,泛式,某科学的超电磁炮,凉宫春日的忧郁,新番,盘点,排行,杂谈,吐槽",1377246,37342,11128,61044,211464,126037,6721,男,bilibili 2019百大UP主、高能联盟成员,2839225,177206258,10929114,100,动画
124,5eba497c059f295f561ce924,25,再会！ 刀客塔！（完结）,大大大灯泡,2141523,短片·手书·配音,"明日方舟,明日方舟一周年,沙雕动画,搞笑",705330,11719,2338,63358,134166,137127,2823,男,bilibili 直播签约主播、高能联盟成员,937133,52809247,3268614,82,动画
125,5eba497d059f295f561ce925,26,观看一分钟，智障一整天,银发の半精灵,2125663,综合,"万恶之源,论BGM的重要性,沙雕向,全能打卡挑战,新人,全程高能,动画短片,多素材,综漫",1563903,2717,2005,66538,137192,52767,8819,保密,bilibili 知名动漫UP主,178825,26891376,1789558,43,动画
126,5eba497e059f295f561ce926,27,石  上  之  死,俺妹妹就是这么可爱,2069596,短片·手书·配音,"手书,动漫恶搞,搞笑,黑人抬棺,辉夜大小姐,全能打卡挑战,藤原千花,恶搞",2050998,7714,1604,57353,208229,66201,23309,女,,67774,14113880,1061381,36,动画
127,5eba497f059f295f561ce927,28,这 就 叫 禁 术？,冷淡熊,2037155,短片·手书·配音,"打开吧！脑洞,佐助,火影忍者,禁术",3862277,4886,2557,51161,211466,48404,18748,保密,bilibili 知名搞笑UP主,413886,46298168,2848425,100,动画
128,5eba4980059f295f561ce928,29,青梅竹马，终究抵不过门当户对。,傾梅z,1970149,MAD·AMV,"MAD.AMV,古风,中国唱诗班,AMV,青梅竹马,国漫,MAD,相思,自制,剪辑",6744297,17886,11377,261198,450513,219243,53390,保密,,22936,7399251,515522,28,动画
